state,x,y
Andhra Pradesh,-100.0,-198.0
Arunachal Pradesh,281.0,158.0
Assam,249.0,106.0
Bihar,61.0,88.0
Chhattisgarh,-42.0,-24.0
Goa,-212.0,-178.0
Gujarat,-309.0,18.0
Haryana,-165.0,183.0
Himachal Pradesh,-146.0,271.0
Jammu and Kashmir,-215.0,308.0
Jharkhand,34.0,35.0
Karnataka,-183.0,-182.0
Kerala,-150.0,-303.0
Madhya Pradesh,-155.0,25.0
Maharashtra,-213.0,-70.0
Manipur,264.0,56.0
Meghalaya,188.0,82.0
Mizoram,241.0,17.0
Nagaland,281.0,99.0
Odisha,19.0,-40.0
Punjab,-185.0,230.0
Rajasthan,-278.0,126.0
Sikkim,136.0,140.0
Tamil Nadu,-121.0,-286.0
Tripura,211.0,35.0
Uttar Pradesh,-84.0,137.0
Uttarakhand,-105.0,211.0
West Bengal,104.0,24.0
Telangana,-111.0,-116.0
Ladakh,-167.0,356.0
